fr_number,v_id,v_bbox,lp_bbox,lp_bbox_score,lp,lp_score
32,337,167.32235987450773 634.998642927851 567.0784529247524 999.5034794907147,292.10662841796875 872.81787109375 426.40985107421875 914.2564697265625,0.5547152161598206,ARG4OMV,0.4047471276673809
33,337,164.86758833611634 638.1540646362845 564.927681292647 1003.2276410924479,295.58935546875 876.3748779296875 419.9930725097656 920.0765991210938,0.5172224640846252,AK64DHV,0.6358241045314701
34,337,163.81540179182403 639.152151363367 564.1437450066476 1004.5661390556854,295.546875 876.4213256835938 420.0313720703125 920.1092529296875,0.5163330435752869,AK64DHV,0.6333058709067205
35,337,161.932450277582 640.6494413092715 562.9114162989407 1006.3626808015666,296.62786865234375 880.5397338867188 419.44091796875 921.4909057617188,0.6050869226455688,ARE4DHV,0.3804106636304287
36,337,160.9956957750834 641.1134777586118 562.4941122384884 1007.0512410718474,296.6214599609375 880.5370483398438 419.4473876953125 921.4929809570312,0.6051267981529236,ARE4DHV,0.3804106636304287
37,337,159.94719778657364 642.6540599578301 561.6353641085602 1008.907695248282,292.9768981933594 882.4127807617188 418.3216857910156 921.6021118164062,0.5791606307029724,AKE4DMV,0.4075290049841378
38,337,159.34244714637373 643.1845372204817 561.289597633021 1009.6795930905461,292.9117431640625 882.40185546875 418.3039245605469 921.6107177734375,0.5794329047203064,AK64DHV,0.39202160055653357
39,337,158.03335581865772 646.6467048930486 559.6885381640421 1013.0189018885732,291.1673889160156 887.2356567382812 416.84375 923.5435791015625,0.6050301194190979,AKE4DHV,0.8722220435992469
40,337,157.65183155439124 647.9645791201672 559.0947230703724 1014.2715269110076,291.2082824707031 887.2137451171875 416.8375549316406 923.5407104492188,0.6050989627838135,AKE4DHV,0.8744359239784634
41,337,157.37246235954663 649.6951946250754 558.5733656516478 1015.9432245956084,288.40313720703125 888.4940185546875 424.6133728027344 927.1301879882812,0.6139652132987976,4K64DHV,0.5244164537221111
42,337,157.28208958771404 650.3310221570792 558.3291895245079 1016.5456425876133,288.4409484863281 888.4987182617188 424.6202087402344 927.0990600585938,0.6137419939041138,4K64DHV,0.5244164537221111
43,337,155.2595697483186 652.0233603275071 556.3957216162389 1018.5381955369271,287.3356628417969 892.4512939453125 414.4998779296875 929.1079711914062,0.6119677424430847,AK64DHV,0.4501710332385801
44,337,154.60315090906138 652.547365119608 555.7371418365234 1019.2740670577996,287.3164978027344 892.4722900390625 414.5083923339844 929.1266479492188,0.6114785671234131,AK64DHV,0.4501710332385801
45,337,153.23956672254033 654.9928178512134 554.8554219289815 1022.3094166402443,287.17510986328125 897.7969970703125 409.3258361816406 936.4115600585938,0.5519225001335144,AH64DHV,0.4119128126104309
46,337,152.52045097967635 655.7359104871425 554.5836070540622 1023.4775334975166,287.2420349121094 897.8316040039062 409.363525390625 936.3839111328125,0.5511887669563293,AH64DHV,0.4119128126104309
47,337,150.8069539346565 656.8109559461013 553.670236841043 1024.8070309154862,288.88323974609375 897.3859252929688 416.4901123046875 941.2302856445312,0.5673222541809082,AK64@HV,0.20895888143053581
48,337,150.0063806374384 657.1578609100509 553.5121957283308 1025.3656915787,288.89349365234375 897.3853759765625 416.49188232421875 941.229736328125,0.5671491026878357,AK64@HV,0.20895888143053581
49,337,146.12364580538988 659.5598532798405 551.4243058181612 1027.781044566681,283.1318359375 902.15234375 411.7116394042969 940.3759155273438,0.5458938479423523,AK64DHM,0.36577738083036737
50,337,144.26652653328063 660.5135407988013 550.9215865547658 1028.698048948569,283.1534118652344 902.1603393554688 411.64556884765625 940.380126953125,0.5454086661338806,AK64DHV,0.36131340600895306
51,337,141.91737743339147 662.504967442124 549.9041950564834 1032.7107337756938,283.30194091796875 903.8964233398438 409.22027587890625 944.1340942382812,0.634009838104248,AK64DHY,0.40330340491213673
52,337,140.92233399535039 662.9040354086475 549.8381373077793 1034.5587534099627,283.2356872558594 903.868896484375 409.2006530761719 944.1549072265625,0.6354177594184875,AK64DHV,0.31819395053668015
53,337,140.34500723640224 663.6029857634622 549.9550505121802 1036.882675090895,282.90350341796875 906.3779907226562 407.44415283203125 943.5314331054688,0.6372109651565552,RK64DHV,0.2821395907365628
54,337,139.8969499483358 663.5426689511992 550.0930918761 1038.0658375637252,282.918212890625 906.3619384765625 407.5685729980469 943.5343017578125,0.6374320387840271,RK64DHV,0.2821395907365628
55,337,138.91439523207197 664.9873932587986 549.2565876463352 1040.5172682129817,279.9889831542969 911.0732421875 411.49267578125 946.711181640625,0.5984718203544617,AK64DHV,0.4999229468874978
56,337,138.59342626049767 665.3777710330171 549.0332739933244 1041.665350623208,280.0308532714844 911.0797729492188 411.50616455078125 946.7388916015625,0.5980380773544312,AK64DHV,0.5150063674698262
57,337,137.45467126831485 667.4313337184605 548.9664742431484 1045.116459392121,281.7361755371094 911.447998046875 409.9028015136719 957.3052368164062,0.5496658682823181,AK64DMP,0.1616157510729536
58,337,137.0479436572803 667.857710061023 549.208081456032 1046.5812948080695,281.6441345214844 911.4581909179688 409.94073486328125 957.2994384765625,0.5497609972953796,AK64DMP,0.14710743568072407
59,337,136.03262538065755 668.5764836792171 549.6242525131377 1048.2318769168344,282.6206359863281 918.9612426757812 409.94476318359375 953.69482421875,0.5264648795127869,AK64DKV,0.6508928430741857
60,337,135.59320462914457 668.6270320030167 550.0638493451665 1048.8155562001295,282.7111511230469 918.891357421875 410.13836669921875 953.4656982421875,0.5256551504135132,AK64DHY,0.5025248337494719
61,337,136.13236468146212 670.5273872645718 550.4255054286456 1050.8080447494472,281.8766174316406 921.337646484375 406.2230224609375 962.7418212890625,0.5650355219841003,AK64DHV,0.6100628099977204
62,337,136.44306730249664 671.173403487094 550.5924836125506 1051.5180119112329,281.932373046875 921.3407592773438 406.1670227050781 962.742431640625,0.5649253726005554,AK64DHV,0.6100628099977204
63,337,135.74972929957417 673.4668061771863 550.4373850345692 1054.859765990523,273.4779357910156 923.0701293945312 404.304931640625 965.4108276367188,0.6185484528541565,AK64DHR,0.2755869399661398
64,337,135.17316055828604 674.1547459798776 550.2546932016317 1056.3016615449678,273.4869689941406 923.0487670898438 404.3150939941406 965.4207153320312,0.6186214089393616,AK64DHR,0.2755869399661398
65,337,134.16687354119102 675.5865783128644 549.4424730430478 1058.3293483512757,271.2014465332031 924.2224731445312 407.4764099121094 964.5361938476562,0.6060472726821899,AK64DMY,0.5917674479727869
66,337,133.8081719502564 675.940453868674 549.1672750137384 1059.027694955442,271.2109069824219 924.2240600585938 407.48468017578125 964.536376953125,0.6060090065002441,AK64DMY,0.5917674479727869
67,337,135.43584348941232 679.0289111093192 552.2088188211071 1063.6909457832219,272.65655517578125 928.0172119140625 410.44732666015625 969.3056030273438,0.5785972476005554,ARG40HV,0.2056732922850251
68,337,135.69078264818023 679.8924755579786 553.6708238785693 1065.7000071892385,272.6480712890625 928.0232543945312 410.4174499511719 969.3303833007812,0.5782727003097534,ARG40HV,0.2056732922850251
69,337,134.76193262032405 682.349986615098 553.1609565211455 1068.8885620349859,269.71148681640625 933.267333984375 402.797119140625 972.809814453125,0.5515214800834656,AK6DMY,0.2890925837407225
70,337,134.56086900800062 683.0746713924481 553.074750287867 1070.1690072727217,269.714111328125 933.25146484375 402.7882995605469 972.8306884765625,0.5517317652702332,AK6DMY,0.31782612748858075
71,337,134.093580166178 683.7257430521776 552.5586442263752 1071.2860849009185,274.34808349609375 937.0541381835938 396.71258544921875 978.1301879882812,0.542172372341156,DHV,0.3291135897670406
72,337,134.0012666688843 683.8251669590043 552.3598327139878 1071.7186810916585,274.3635559082031 937.0504150390625 396.7090148925781 978.131103515625,0.542143702507019,DHV,0.3291135897670406
73,337,131.5721598892216 686.5259783784862 549.396141462079 1073.1534506430996,273.015380859375 941.1136474609375 397.18060302734375 982.5737915039062,0.5776578187942505,AK64DHV,0.6722576666800435
74,337,130.67032438310994 687.7396182218251 548.1450781967352 1073.462872482964,273.0137023925781 941.1227416992188 397.20550537109375 982.577880859375,0.5775154829025269,AK64DHV,0.6722576666800435
75,337,129.2514232141189 690.7026849639557 546.3934732651232 1076.2238910680883,266.86181640625 943.3771362304688 394.8861389160156 982.6160278320312,0.585676908493042,AK64DHV,0.770562575771965
76,337,128.92115317139948 691.8231619336276 545.7498863697155 1077.1899499942751,266.80322265625 943.3796997070312 394.9328918457031 982.6256713867188,0.5860804319381714,AK64DHV,0.7599405731799765
77,337,127.83125889117773 694.0663204081634 544.275992695218 1079.6713139887381,276.62841796875 945.1945190429688 395.0332946777344 984.2200927734375,0.6040006279945374,ARG4DHV,0.47842336426546633
78,337,127.5845390854289 694.8614786098717 543.7097758132498 1080.6263102349767,276.6213684082031 945.1953735351562 395.0221862792969 984.2222290039062,0.6039455533027649,ARG4DHV,0.47842336426546633
79,337,126.34846173956345 695.6305003387018 542.9272840900896 1082.467476035148,265.2531433105469 950.486083984375 401.5752258300781 987.6939697265625,0.558904230594635,AK64DHV,0.23250625379309448
80,337,125.93265449156726 695.7067027622836 542.7714698716836 1083.3046702036602,265.2620849609375 950.491943359375 401.562255859375 987.6795043945312,0.5593286156654358,AK64DHV,0.23224501785365861
81,337,123.38767054940826 697.2225474908113 541.7648617014693 1085.5111070113812,258.4024353027344 953.41552734375 392.8842468261719 994.1884155273438,0.5674748420715332,AK6ADAV,0.25946659890314533
82,337,122.11581829642958 697.6313242934912 541.669824549485 1086.3926798745003,258.39801025390625 953.4259643554688 392.8965759277344 994.1776123046875,0.5669721961021423,AK6ADAV,0.25946659890314533
83,337,118.85426438456571 698.0869647780778 540.6016309601828 1087.3080881969504,263.22528076171875 956.0435180664062 394.6038513183594 999.5894775390625,0.5359054207801819,AK64DHV,0.7249134101276672
84,337,117.24725270417787 698.115451841857 540.6138129862205 1087.6645680331667,263.1493225097656 956.0100708007812 394.63824462890625 999.6201171875,0.5360729098320007,AK64DHV,0.7249134101276672
85,337,113.07615853129681 701.6348445994236 538.9396127478781 1093.0437297430929,262.6283264160156 960.4091796875 397.26580810546875 1003.9693603515625,0.5911253690719604,AK64DHV,0.5069697242736341
86,337,111.12227604213436 702.6679658502568 538.7264551401732 1095.4145478892638,262.6009216308594 960.406494140625 397.2518310546875 1003.9633178710938,0.590894341468811,AK64DHV,0.5069697242736341
87,337,108.24418466609231 705.0169468340391 538.2022524758653 1098.8896850492242,253.86859130859375 962.8523559570312 392.9980773925781 1007.4680786132812,0.552068293094635,AK64DHV,0.44187071314934145
88,337,106.82704880221164 705.6503371428593 538.4665123118955 1100.3502799773216,253.87237548828125 962.850830078125 393.0035095214844 1007.4768676757812,0.5518933534622192,AK64DHV,0.4507193988979336
89,337,106.20899854848639 705.0663444630744 538.9656432478561 1100.929725235951,258.33404541015625 965.9202270507812 392.6907043457031 1006.0005493164062,0.6193260550498962,AK64@HV,0.41661650930062566
90,337,105.7787815313088 704.5631779307629 539.3623639911934 1101.2758079936098,258.279052734375 965.9330444335938 392.6593933105469 1005.9542846679688,0.619285523891449,AK64DHV,0.523163443895744
91,337,104.35103513958893 706.6965507467806 539.3484865335007 1105.0272721667106,259.01837158203125 972.1051635742188 392.84844970703125 1009.4947509765625,0.5717238783836365,AKGQDMV,0.19817539854304222
92,337,103.4722245872569 707.2243045842533 539.5352531775336 1106.8064662575198,258.7173767089844 972.0562133789062 392.96197509765625 1009.5230712890625,0.5724784135818481,AKGGDMV,0.19773660286099926
93,337,101.94035962803042 709.9094467833436 539.363448040285 1110.597243286103,253.31715393066406 974.0471801757812 383.5779113769531 1017.2703247070312,0.5595060586929321,AK64DAT,0.2209239450506306
94,337,101.00684967613608 710.6925220422268 539.5106367942165 1112.2256148704912,253.22384643554688 974.0601806640625 383.5919189453125 1017.2489013671875,0.5592682957649231,AK64DAT,0.2379332856811801
95,337,100.6791211048297 713.0868151768791 539.7702308170487 1114.9759408344587,256.2164611816406 977.7008666992188 381.3218688964844 1020.013671875,0.5651431083679199,AK64DHV,0.3523712125707935
96,337,100.3403626427579 713.7572109721268 539.9478356027294 1115.9731822483045,256.1908264160156 977.7156372070312 381.310546875 1020.0497436523438,0.563901960849762,AK64DHV,0.3523712125707935
97,337,100.49251164714923 716.538852195298 540.7218138254573 1119.3695147909364,254.65211486816406 984.1229858398438 387.2095642089844 1023.4974975585938,0.6190900206565857,AK64@HY,0.5129469692872941
98,337,100.5023949761308 717.4386431868161 541.1472441282658 1120.7018677155288,254.58975219726562 984.12109375 387.287353515625 1023.4998168945312,0.6192991137504578,AK64@HY,0.5129469692872941
99,337,100.70024629258279 719.3660912379585 541.6718635343509 1123.7483006675654,252.83856201171875 986.2620849609375 390.4715881347656 1025.5908203125,0.6381949782371521,AK64DHV,0.7484745349094822
100,337,100.76136606843804 719.8420099763365 541.9404150252824 1125.0090767107963,252.86358642578125 986.259765625 390.4928894042969 1025.5865478515625,0.6385466456413269,AK6ADHV,0.4792304699938901
101,337,100.22575554187176 722.5801892935198 541.5508531741967 1127.9257539016112,248.58839416503906 986.943115234375 389.3515930175781 1026.9605712890625,0.6557314395904541,AK64DHV,0.4230677685684038
102,337,100.00190523475098 723.5138315114448 541.4212128205404 1128.982209053022,248.60067749023438 986.951171875 389.3431396484375 1026.969970703125,0.6556118130683899,AK64DHV,0.4230677685684038
103,337,100.84178634799963 727.6769724773037 541.244241198878 1132.910327470708,249.5184783935547 994.3116455078125 377.05780029296875 1031.5111083984375,0.5765444040298462,AK64DHV,0.36493975554475017
104,337,101.43784594343529 729.1844110311125 541.0515975636869 1134.2679243703255,249.5294647216797 994.3174438476562 377.0748596191406 1031.515869140625,0.5766834616661072,AK64DHV,0.36493975554475017
105,337,99.78602975292418 730.8125095670126 540.4515577994404 1137.012230829992,252.39002990722656 1001.0036010742188 383.66790771484375 1040.7381591796875,0.5007615089416504,AKE4DMV,0.4081179693261005
106,337,98.97199281279498 731.079583608233 540.4253420358111 1138.1412838299725,252.412353515625 1000.9908447265625 383.64251708984375 1040.71923828125,0.5005760192871094,AK64@HV,0.3161933505431567
107,337,98.52511377748755 731.6809215384691 539.6510499231249 1139.557915381566,251.36387634277344 1001.6670532226562 386.82330322265625 1043.7794189453125,0.5434682369232178,AK64DHV,0.24124551246912423
108,337,98.4459160499953 731.7229504038481 539.3206198750313 1140.2116571495653,251.3825225830078 1001.6622924804688 386.8094482421875 1043.79052734375,0.543686032295227,AK64DHV,0.24124551246912423
109,337,97.20553312229029 735.6838388067532 539.8962937551314 1144.0727313737907,244.53408813476562 1005.0560302734375 386.7293395996094 1044.9239501953125,0.5417416095733643,AK6ADHV,0.22258978572266094
110,337,96.3798597060289 737.0083550378423 540.4267506929191 1145.401596799703,244.3377685546875 1005.04931640625 386.7576599121094 1044.9381103515625,0.5409016013145447,AK6ADHV,0.3498417971827925
111,337,96.09758841909206 740.0164831217676 541.8828775285101 1150.0283624619246,239.82354736328125 1008.0514526367188 379.5816650390625 1049.658935546875,0.5969651341438293,AK6ADHV,0.34745533422532043
112,337,95.77050012742944 740.8273643752328 542.7365917271711 1151.9737485295402,239.83978271484375 1008.0487060546875 379.5622253417969 1049.6470947265625,0.5974448323249817,AK6ADHV,0.3259470341025242
113,337,95.86012308943526 741.5648187304331 543.3196638815168 1154.0056341554282,241.3627471923828 1009.9143676757812 379.81396484375 1052.138671875,0.605655312538147,AK64@MV,0.5932611980575929
114,337,95.73277438670789 741.5006042288201 543.545689629185 1154.8726604746798,241.37913513183594 1009.90673828125 379.8232727050781 1052.1553955078125,0.6054878830909729,AK64@MV,0.5932611980575929
115,337,93.45309366743518 744.0009459562322 541.7448143627764 1158.583339373358,238.54051208496094 1015.7968139648438 376.3672790527344 1061.5433349609375,0.5608237981796265,AK64DHV,0.5874364718204946
116,337,92.49117717539292 744.6415078183859 541.1770960808424 1160.0990932246887,238.54344177246094 1015.7852172851562 376.3800354003906 1061.54541015625,0.5606562495231628,AK64DHV,0.5874364718204946
117,337,90.93114195429857 747.0227013682234 541.1682391982489 1163.263293810665,239.9431610107422 1022.4818115234375 378.4925537109375 1064.9920654296875,0.5668280720710754,AK64DHV,0.4531920666274941
118,337,90.0274180296204 747.7696869492897 541.2808053915888 1164.546669070994,239.94921875 1022.460693359375 378.38983154296875 1064.9737548828125,0.5666415691375732,AK64DHV,0.40181967053194245
119,337,89.37311664371478 749.0906033758791 541.2651296775177 1166.1081058449402,239.9901580810547 1024.5498046875 376.99041748046875 1064.4168701171875,0.6138466000556946,ARGADNV,0.6844142983762163
