fr_number,id,lp_bbox,lp_bbox_score,lp,lp_score
62,1,1178.749267578125 1139.702392578125 1314.283203125 1178.335693359375,0.35328415036201477, ,0.0
63,1,1178.78466796875 1139.70556640625 1314.0753173828125 1178.3092041015625,0.35199251770973206, ,0.0
64,1,1179.771240234375 1146.2874755859375 1315.731201171875 1186.6190185546875,0.33978697657585144, ,0.0
65,1,1179.7469482421875 1146.287841796875 1315.7266845703125 1186.60791015625,0.3400176465511322, ,0.0
66,1,1175.63916015625 1147.1800537109375 1316.5269775390625 1189.794921875,0.421114444732666, ,0.0
67,1,1175.6380615234375 1147.17431640625 1316.5240478515625 1189.817138671875,0.42281076312065125, ,0.0
0,2,1142.1751708984375 1008.3384399414062 1271.0074462890625 1051.900634765625,0.45980963110923767,4F65,0.864262580871582
1,2,1142.1639404296875 1008.3155517578125 1271.0389404296875 1051.9027099609375,0.4595482647418976,4F65,0.864262580871582
2,2,1140.0450439453125 1014.93115234375 1270.58056640625 1054.0032958984375,0.4824974536895752,4F65,0.23661274115793818
3,2,1140.0609130859375 1014.9479370117188 1270.593505859375 1054.0040283203125,0.4829248785972595,4F65,0.23661274115793818
4,2,1088.140869140625 656.547119140625 1180.956787109375 692.6326293945312,0.49141445755958557,JOT(TD,0.07702515004675323
5,2,1088.1448974609375 656.5396118164062 1181.1092529296875 692.5977783203125,0.49021854996681213,JOTTTD,0.09408420402104309
6,2,1140.451171875 1023.5072021484375 1274.3167724609375 1063.3587646484375,0.481861412525177,0F65,0.18644319474697113
7,2,1140.470458984375 1023.497802734375 1274.3201904296875 1063.365478515625,0.4823967218399048,0F65,0.18644319474697113
8,2,1140.816162109375 1027.54052734375 1274.828125 1066.2933349609375,0.5107965469360352,DF65),0.5983404928055461
9,2,1140.8316650390625 1027.5040283203125 1274.7257080078125 1066.2587890625,0.5106711983680725,DF65),0.6344164963863277
17,3,1146.8543701171875 1043.565673828125 1279.603515625 1083.3441162109375,0.4629448652267456,AFESKV,0.07220265754185239
18,3,1150.4488525390625 1046.348388671875 1281.43798828125 1086.56982421875,0.5088574290275574,AF65,0.4379844853558142
19,3,1150.461669921875 1046.3477783203125 1281.4500732421875 1086.563232421875,0.5090312361717224,AF65,0.4379844853558142
20,3,1088.0966796875 669.7783203125 1182.071533203125 706.52587890625,0.4559815227985382,JOLD,0.28479576110839844
21,3,1088.188232421875 669.8177490234375 1182.0848388671875 706.5418090820312,0.457351416349411,JOLD,0.2537948191165924
22,3,1149.482421875 1056.1163330078125 1286.984375 1096.37109375,0.5112783908843994,AF65IL,0.3492200260135072
23,3,1149.5262451171875 1056.058349609375 1286.917236328125 1096.3272705078125,0.5125940442085266,AF65IL,0.3492200260135072
24,3,1155.5804443359375 1059.612060546875 1286.2647705078125 1097.7398681640625,0.4803560674190521,NF65,0.18965846300125122
25,3,1155.612548828125 1059.632568359375 1286.3397216796875 1097.7392578125,0.4814786911010742,NF65,0.18965846300125122
26,3,1151.4476318359375 1063.1746826171875 1289.4560546875 1104.55224609375,0.4690207540988922,4F65,0.3580913543701172
27,3,1151.523193359375 1063.1798095703125 1289.6607666015625 1104.5821533203125,0.46953877806663513,4F65,0.3580913543701172
28,3,1153.37939453125 1066.5830078125 1292.141357421875 1107.748779296875,0.5243925452232361,AFB5E,0.02651776104804094
29,3,1153.378173828125 1066.572998046875 1292.1121826171875 1107.7437744140625,0.5246589183807373,AFB5E,0.02651776104804094
30,3,1153.6943359375 1070.4217529296875 1289.387939453125 1110.810791015625,0.49348318576812744,AF6S,0.37890511751174927
31,3,1153.7591552734375 1070.426025390625 1289.55615234375 1110.7869873046875,0.4917501211166382,AF6S,0.37890511751174927
32,3,1155.5716552734375 1073.5255126953125 1292.4345703125 1113.5123291015625,0.5511808395385742,NF165,0.08481077958400159
33,3,1155.6380615234375 1073.6163330078125 1292.5604248046875 1113.552490234375,0.5495637655258179,NF165,0.08481077958400159
34,3,1154.0535888671875 1078.87353515625 1294.369873046875 1121.0050048828125,0.5371295809745789,JFES,0.17651249468326569
35,3,1097.2215576171875 687.5866088867188 1188.4951171875 720.2578735351562,0.4193422198295593,JOGED@,0.07467823507257519
36,3,1098.919677734375 687.7969970703125 1192.9737548828125 721.2011108398438,0.5225976705551147,6J06(WZ,0.06956453522967981
37,3,1098.7421875 687.7788696289062 1192.572265625 721.1329345703125,0.5242434144020081,JOGED,0.24221049408869966
38,3,1160.5020751953125 1086.9432373046875 1299.3829345703125 1128.5086669921875,0.5450539588928223,AF65,0.1785106062889099
39,3,1160.4818115234375 1086.923095703125 1299.367919921875 1128.498046875,0.5443297624588013,AF65,0.21164792776107788
40,3,1094.4813232421875 690.0928955078125 1191.7152099609375 727.2294311523438,0.4963620603084564,J05EPPD,0.19443469551773945
41,3,1094.4736328125 690.0853271484375 1191.6768798828125 727.2249755859375,0.4959155023097992,J05EPPD,0.19443469551773945
42,3,1158.5792236328125 1090.4248046875 1301.0826416015625 1134.01611328125,0.55010986328125,AFGSI,0.07041216445083828
43,3,1158.6165771484375 1090.4208984375 1301.0706787109375 1133.99658203125,0.5492370128631592,4F65,0.4700356721878052
44,3,1162.4720458984375 1098.447265625 1302.4796142578125 1139.8275146484375,0.5035292506217957,4F65,0.5149516463279724
45,3,1162.3929443359375 1098.435546875 1302.475341796875 1139.795654296875,0.5032485127449036,4F65,0.5149516463279724
46,3,1163.3179931640625 1103.95068359375 1303.6217041015625 1146.9146728515625,0.5238602161407471,4FB5,0.09290546178817749
47,3,1163.30419921875 1103.948974609375 1303.61572265625 1146.9228515625,0.5241313576698303,4FB5,0.09290546178817749
48,3,1169.0972900390625 1106.9044189453125 1305.3756103515625 1148.41064453125,0.552733302116394,4F65,0.2607642412185669
49,3,1169.1019287109375 1106.9010009765625 1305.389404296875 1148.416015625,0.5530530214309692,4F65,0.2607642412185669
50,3,1097.6690673828125 697.9132690429688 1196.071533203125 732.7962036132812,0.4856501519680023,DJOGEPP,0.1414712516185045
51,3,1097.6624755859375 697.9302978515625 1196.0767822265625 732.8290405273438,0.48474785685539246,DJOGEPD,0.13276737919783602
52,3,1168.2550048828125 1116.72314453125 1305.747802734375 1157.0299072265625,0.5361773371696472,4F5,0.22345909476280212
53,3,1168.2506103515625 1116.7122802734375 1305.790283203125 1157.017578125,0.5357590913772583,4F5,0.22345909476280212
54,3,1099.0235595703125 702.4923095703125 1193.4549560546875 737.824462890625,0.46351781487464905,2O6PD,0.3342839830338985
55,3,1098.9847412109375 702.4871215820312 1193.402099609375 737.8193969726562,0.46466436982154846,JO6PD,0.09883238356685249
56,3,1105.6812744140625 707.3935546875 1198.163330078125 741.6064453125,0.4096517562866211,JO6EPD,0.7440167010864334
57,3,1105.7252197265625 707.4280395507812 1198.1478271484375 741.6201171875,0.40878593921661377,JO6EPD,0.7440167010864334
58,3,1094.6724853515625 707.9639892578125 1197.4912109375 741.7081909179688,0.5001569986343384,JO6€ED,0.20998081274895847
59,3,1094.618408203125 707.9459228515625 1197.48779296875 741.6834106445312,0.5002870559692383,JO6€ED,0.20998081274895847
60,3,1101.609130859375 708.6707763671875 1197.2340087890625 741.8209228515625,0.49893903732299805,{JO6EPDL,0.134765972434753
61,3,1101.659912109375 708.6685791015625 1197.22021484375 741.8096923828125,0.4989497661590576,{JO6EPDL,0.134765972434753
62,3,1103.093505859375 709.9614868164062 1198.0535888671875 746.1964111328125,0.5089504718780518,JOGEPD,0.448193780370168
63,3,1103.0233154296875 709.9853515625 1198.0513916015625 746.212890625,0.5077203512191772,JOGEPD,0.448193780370168
64,3,1100.1593017578125 712.9649658203125 1194.2220458984375 747.1671142578125,0.48058879375457764,CJGE0,0.26570055346887633
65,3,1100.29736328125 712.94091796875 1194.2760009765625 747.1758422851562,0.4813464879989624,CJGE0,0.26570055346887633
66,3,1100.404296875 712.9293212890625 1195.4384765625 748.0892333984375,0.4407443702220917,JOGEDD,0.5604833201200452
