,fr_number,v_id,v_bbox,lp_bbox,lp_bbox_score,lp,lp_score
14,4,2,"[980.8884502057509, 900.5004427412005, 1461.8854839778428, 1205.5136591519]","[1159.917236328125, 1149.1038818359375, 1293.2008056640625, 1204.4000244140625]",0.30791398882865906,asd012,1
15,5,4,"[251.88924239805195, 549.5389312275006, 576.0276910973198, 830.1241679323759]","[355.689697265625, 719.6895751953125, 461.5141906738281, 760.0597534179688]",0.4659912586212158,asd012,1
16,5,1,"[857.865957807924, 616.0077257139069, 1222.3340336963502, 915.3053019993315]","[986.9608764648438, 815.946044921875, 1114.747802734375, 849.323974609375]",0.337054967880249,asd012,1
17,5,2,"[980.9533711567352, 900.4674940951061, 1461.9957685020381, 1205.4676365253697]","[1159.9481201171875, 1149.0738525390625, 1293.50244140625, 1204.4141845703125]",0.3051692843437195,asd012,1
18,6,4,"[251.95183393222956, 549.5814578725963, 576.0867396907129, 830.1634141416548]","[355.657958984375, 719.7396850585938, 461.45111083984375, 760.0427856445312]",0.4652668237686157,asd012,1
19,6,1,"[857.3564975413321, 616.0344385506322, 1222.0764111599444, 915.2737542862307]","[986.9635620117188, 815.958984375, 1114.6944580078125, 849.3004150390625]",0.33519768714904785,asd012,1
20,6,2,"[980.8533559440739, 900.4568210252482, 1461.9096917490697, 1205.4502284956739]","[1160.062744140625, 1149.0269775390625, 1293.51220703125, 1204.38720703125]",0.30329594016075134,asd012,1
21,7,4,"[251.65715181584392, 549.5327455011402, 575.9867784739234, 830.1526622078491]","[355.6605224609375, 719.6854248046875, 461.46124267578125, 760.0125732421875]",0.4663241505622864,asd012,1
22,7,1,"[857.1234636389053, 616.0702962129327, 1221.960504244884, 915.284507391913]","[986.9074096679688, 815.9832763671875, 1114.826904296875, 849.3198852539062]",0.3344535827636719,asd012,1
23,7,2,"[980.8841160632496, 900.4540982424027, 1462.050267949649, 1205.416872408766]","[1160.070556640625, 1148.907470703125, 1293.7994384765625, 1204.45166015625]",0.30179110169410706,asd012,1
24,8,4,"[251.4539344100851, 549.5319901323885, 575.9453910954675, 830.1228051178655]","[355.56890869140625, 719.6524658203125, 461.48028564453125, 760.0252685546875]",0.46592164039611816,asd012,1
25,8,1,"[856.8918007914045, 616.1001975396258, 1221.8377092132073, 915.3566995163486]","[986.7277221679688, 815.9920654296875, 1114.7288818359375, 849.3320922851562]",0.3357316553592682,asd012,1
26,8,2,"[980.849768262224, 900.4017807044982, 1462.0698151277195, 1205.2868245451207]","[1160.203369140625, 1148.979736328125, 1294.3179931640625, 1204.5003662109375]",0.2991201877593994,asd012,1
27,9,4,"[251.36802092111992, 549.537440941451, 575.9915663316292, 830.1328730309463]","[355.5145263671875, 719.653564453125, 461.53436279296875, 760.0565185546875]",0.4649117887020111,asd012,1
28,9,1,"[856.8667141119358, 616.1554762259452, 1221.9739859117567, 915.4559484961319]","[986.7059326171875, 815.9781494140625, 1114.87548828125, 849.3248901367188]",0.33637407422065735,asd012,1
29,9,2,"[980.792812077435, 900.4265137751441, 1462.0126904165409, 1205.2473376955775]","[1160.2286376953125, 1149.0068359375, 1294.4239501953125, 1204.539306640625]",0.2977857291698456,asd012,1
30,10,4,"[251.4132993761897, 549.5506496743648, 576.0629464380451, 830.1142210407669]","[355.5845031738281, 719.6495971679688, 461.5200500488281, 760.0433959960938]",0.4657984972000122,asd012,1
31,10,1,"[856.782019768689, 616.1701368316866, 1222.0157541239694, 915.499674622184]","[986.7045288085938, 816.0009765625, 1114.8504638671875, 849.32470703125]",0.3356982469558716,asd012,1
